segundo,estado,sub_estado,avg_velocity,min_velocity,max_velocity,velocity_variance,v_diff,car_mean_velocity,truck_mean_velocity,car_velocity_variance,truck_velocity_variance,avg_gap,min_gap,median_gap,vehicles_stopped,vehicles_cruising,vehicles_braking,vehicles_accelerating,cumulative_throughput,near_collisions,hard_brakes
1,ESTABILIZANDO,,0.71,0.4,0.75,0.01,0.35,0.75,0.4,0.0,0.0,78.08,71.58,78.78,30,0,0,27,0,0,0
2,ESTABILIZANDO,,1.43,0.8,1.5,0.04,0.7,1.5,0.8,0.0,0.0,78.08,71.04,78.78,3,0,0,27,0,0,0
3,ESTABILIZANDO,,2.15,1.2,2.25,0.1,1.05,2.25,1.2,0.0,0.0,78.08,70.15,78.78,0,0,0,27,0,0,0
4,ESTABILIZANDO,,2.86,1.6,3.0,0.18,1.4,3.0,1.6,0.0,0.0,78.08,68.91,78.78,0,0,0,27,0,0,0
5,ESTABILIZANDO,,3.58,2.0,3.75,0.28,1.75,3.75,2.0,0.0,0.0,78.08,67.31,78.78,0,0,0,27,0,0,0
6,ESTABILIZANDO,,4.29,2.4,4.5,0.4,2.1,4.5,2.4,0.0,0.0,78.08,65.37,78.78,0,0,0,27,0,0,0
7,ESTABILIZANDO,,5.01,2.8,5.25,0.54,2.45,5.25,2.8,0.0,0.0,78.08,63.08,78.78,0,0,0,27,0,0,0
8,ESTABILIZANDO,,5.72,3.2,6.0,0.71,2.8,6.0,3.2,0.0,0.0,78.08,60.44,78.78,0,0,0,27,0,0,0
9,ESTABILIZANDO,,6.44,3.6,6.75,0.89,3.15,6.75,3.6,0.0,0.0,78.08,57.44,78.78,0,0,0,27,0,0,0
10,ESTABILIZANDO,,7.15,4.0,7.5,1.1,3.5,7.5,4.0,0.0,0.0,78.08,54.1,78.78,0,0,0,27,0,0,0
11,ESTABILIZANDO,,7.87,4.4,8.25,1.33,3.85,8.25,4.4,0.0,0.0,78.08,50.41,78.78,0,0,0,27,0,0,0
12,ESTABILIZANDO,,8.58,4.8,9.0,1.59,4.2,9.0,4.8,0.0,0.0,78.08,46.37,78.78,0,0,0,27,0,0,0
13,ESTABILIZANDO,,9.29,5.2,9.75,1.86,4.55,9.75,5.2,0.0,0.0,78.08,41.97,78.78,0,0,0,27,0,0,0
14,ESTABILIZANDO,,10.01,5.6,10.5,2.16,4.9,10.5,5.6,0.0,0.0,78.08,37.23,78.78,0,0,0,27,0,0,0
15,ESTABILIZANDO,,10.72,6.0,11.25,2.48,5.25,11.25,6.0,0.0,0.0,78.08,32.14,78.78,0,0,0,27,0,0,0
16,ESTABILIZANDO,,11.44,6.4,12.0,2.82,5.6,12.0,6.4,0.0,0.0,78.08,26.7,78.78,0,0,0,27,0,0,0
17,ESTABILIZANDO,,12.15,6.8,12.75,3.19,5.95,12.75,6.8,0.0,0.0,78.08,20.9,78.78,0,0,0,27,0,0,0
18,ESTABILIZANDO,,12.87,7.2,13.5,3.57,6.3,13.5,7.2,0.0,0.0,78.08,14.76,78.78,0,0,0,27,0,0,0
19,ESTABILIZANDO,,13.58,7.6,14.25,3.98,6.65,14.25,7.6,0.0,0.0,78.08,8.27,78.78,0,0,0,27,0,0,0
20,ESTABILIZANDO,,14.3,8.0,15.0,4.41,7.0,15.0,8.0,0.0,0.0,78.08,1.43,78.78,0,0,0,27,0,3,0
21,ESTABILIZANDO,,15.01,8.4,15.75,4.86,7.35,15.75,8.4,0.0,0.0,78.08,-5.77,78.78,0,0,0,27,0,33,0
22,ESTABILIZANDO,,15.73,8.8,16.5,5.34,7.7,16.5,8.8,0.0,0.0,329.4,78.78,78.78,0,0,0,27,0,57,0
23,ESTABILIZANDO,,16.44,9.2,17.25,5.83,8.05,17.25,9.2,0.0,0.0,329.4,78.78,78.78,0,0,0,27,0,57,0
24,ESTABILIZANDO,,17.16,9.6,18.0,6.35,8.4,18.0,9.6,0.0,0.0,329.4,78.78,78.78,0,0,0,27,0,57,0
25,ESTABILIZANDO,,17.87,10.0,18.75,6.89,8.75,18.75,10.0,0.0,0.0,329.4,78.78,78.78,0,0,0,27,0,57,0
26,ESTABILIZANDO,,18.59,10.4,19.5,7.45,9.1,19.5,10.4,0.0,0.0,329.4,78.78,78.78,0,0,0,27,0,57,0
27,ESTABILIZANDO,,19.3,10.8,20.25,8.04,9.45,20.25,10.8,0.0,0.0,329.4,78.78,78.78,0,0,0,27,0,57,0
28,ESTABILIZANDO,,20.02,11.2,21.0,8.64,9.8,21.0,11.2,0.0,0.0,329.4,78.78,78.78,0,0,0,27,0,57,0
29,ESTABILIZANDO,,20.73,11.6,21.75,9.27,10.15,21.75,11.6,0.0,0.0,329.4,78.78,78.78,0,0,0,27,0,57,0
30,ESTABILIZANDO,,21.45,12.0,22.5,9.92,10.5,22.5,12.0,0.0,0.0,329.4,78.78,78.78,0,0,0,27,0,57,0
31,ESTABILIZANDO,,22.16,12.4,23.25,10.6,10.85,23.25,12.4,0.0,0.0,329.4,78.78,78.78,0,0,0,27,0,57,0
32,ESTABILIZANDO,,22.88,12.8,24.0,11.29,11.2,24.0,12.8,0.0,0.0,329.4,78.78,78.78,0,0,0,27,0,57,0
33,ESTABILIZANDO,,23.59,13.2,24.75,12.01,11.55,24.75,13.2,0.0,0.0,329.4,78.78,78.78,0,0,0,27,0,57,0
34,ESTABILIZANDO,,24.31,13.6,25.5,12.74,11.9,25.5,13.6,0.0,0.0,329.4,78.78,78.78,0,0,0,27,0,57,0
35,ESTABILIZANDO,,25.02,14.0,26.25,13.51,12.25,26.25,14.0,0.0,0.0,329.4,78.78,78.78,0,0,0,27,0,57,0
36,ESTABILIZANDO,,25.74,14.4,27.0,14.29,12.6,27.0,14.4,0.0,0.0,329.4,78.78,78.78,0,0,0,27,0,57,0
37,ESTABILIZANDO,,26.45,14.8,27.75,15.09,12.95,27.75,14.8,0.0,0.0,329.4,78.78,78.78,0,0,0,27,0,57,0
38,ESTABILIZANDO,,27.17,15.2,28.5,15.92,13.3,28.5,15.2,0.0,0.0,329.4,78.78,78.78,0,0,0,27,0,57,0
39,ESTABILIZANDO,,27.88,15.6,29.25,16.77,13.65,29.25,15.6,0.0,0.0,329.4,78.78,78.78,0,27,0,27,0,57,0
40,ESTABILIZANDO,,28.6,16.0,30.0,17.64,14.0,30.0,16.0,0.0,0.0,329.4,78.78,78.78,0,27,0,27,0,57,0
41,ESTABILIZANDO,,28.64,16.4,30.0,16.65,13.6,30.0,16.4,0.0,0.0,329.4,78.78,78.78,0,27,0,0,0,57,0
42,ESTABILIZANDO,,28.68,16.8,30.0,15.68,13.2,30.0,16.8,0.0,0.0,329.4,78.78,78.78,0,27,0,0,0,57,0
43,ESTABILIZANDO,,28.72,17.2,30.0,14.75,12.8,30.0,17.2,0.0,0.0,329.4,78.78,78.78,0,27,0,0,0,57,0
44,ESTABILIZANDO,,28.76,17.6,30.0,13.84,12.4,30.0,17.6,0.0,0.0,329.4,78.78,78.78,0,27,0,0,0,57,0
45,ESTABILIZANDO,,28.8,18.0,30.0,12.96,12.0,30.0,18.0,0.0,0.0,329.4,78.78,78.78,0,27,0,0,0,57,0
46,ESTABILIZANDO,,28.84,18.4,30.0,12.11,11.6,30.0,18.4,0.0,0.0,329.4,78.78,78.78,0,27,0,0,0,57,0
47,ESTABILIZANDO,,28.88,18.8,30.0,11.29,11.2,30.0,18.8,0.0,0.0,329.4,78.78,78.78,0,27,0,0,0,57,0
48,ESTABILIZANDO,,28.92,19.2,30.0,10.5,10.8,30.0,19.2,0.0,0.0,329.4,78.78,78.78,0,27,0,0,0,57,0
49,ESTABILIZANDO,,28.96,19.6,30.0,9.73,10.4,30.0,19.6,0.0,0.0,329.4,78.78,78.78,0,27,0,0,0,57,0
