segundo,estado,sub_estado,avg_velocity,min_velocity,max_velocity,velocity_variance,v_diff,car_mean_velocity,truck_mean_velocity,car_velocity_variance,truck_velocity_variance,avg_gap,min_gap,median_gap,vehicles_stopped,vehicles_cruising,vehicles_braking,vehicles_accelerating,cumulative_throughput,near_collisions,hard_brakes
1,ESTABILIZANDO,,0.75,0.75,0.75,0.0,0.0,0.75,0,0.0,0,78.78,78.78,78.78,30,0,0,30,0,0,0
2,ESTABILIZANDO,,1.5,1.5,1.5,0.0,0.0,1.5,0,0.0,0,78.78,78.78,78.78,0,0,0,30,0,0,0
3,ESTABILIZANDO,,2.25,2.25,2.25,0.0,0.0,2.25,0,0.0,0,78.78,78.78,78.78,0,0,0,30,0,0,0
4,ESTABILIZANDO,,3.0,3.0,3.0,0.0,0.0,3.0,0,0.0,0,78.78,78.78,78.78,0,0,0,30,0,0,0
5,ESTABILIZANDO,,3.75,3.75,3.75,0.0,0.0,3.75,0,0.0,0,78.78,78.78,78.78,0,0,0,30,0,0,0
6,ESTABILIZANDO,,4.5,4.5,4.5,0.0,0.0,4.5,0,0.0,0,78.78,78.78,78.78,0,0,0,30,0,0,0
7,FLUJO_SINCRO,,5.95,5.95,5.97,0.0,0.01,5.95,0,0.0,0,78.78,78.77,78.78,0,0,0,30,0,0,0
8,FLUJO_SINCRO,,7.39,7.38,7.41,0.0,0.03,7.39,0,0.0,0,78.78,78.75,78.78,0,0,0,30,0,0,0
9,FLUJO_SINCRO,,8.8,8.79,8.84,0.0,0.05,8.8,0,0.0,0,78.78,78.7,78.78,0,0,0,30,0,0,0
10,FLUJO_SINCRO,,10.18,10.16,10.25,0.0,0.08,10.18,0,0.0,0,78.78,78.64,78.78,0,0,0,30,0,0,0
11,FRENADA_ORIGEN,,11.21,2.16,11.62,2.82,9.45,11.21,0,2.82,0,78.78,73.45,78.78,0,0,1,29,0,0,10
12,FRENADA_ORIGEN,,12.36,0.0,12.95,5.3,12.95,12.36,0,5.3,0,78.78,61.84,78.78,1,0,0,28,0,0,12
