segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_atasco,coches_ajustando,coches_libre,gap_min,gap_medio,gap_max,gap_critico_medio,presion_gaps,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_en_atasco,max_v_diff
1,EQUILIBRIO,17.6,17.6,17.6,0.0,11.94,756.0,103.5,0,0,0,30,78.78,78.78,78.78,30.39,0.39,0.0,0,0,0,0,0
2,EQUILIBRIO,18.04,18.04,18.04,0.0,11.94,775.0,106.1,0,0,0,30,78.78,78.78,78.78,31.05,0.39,0.0,0,0,0,0,0.0
3,EQUILIBRIO,18.35,18.35,18.35,0.0,11.94,789.0,108.0,0,0,30,0,78.78,78.78,78.78,31.53,0.4,0.0,0,0,0,0,0.0
4,EQUILIBRIO,18.58,18.58,18.58,0.0,11.94,798.0,109.3,0,0,30,0,78.78,78.78,78.78,31.87,0.4,0.0,0,0,0,0,0.0
5,EQUILIBRIO,18.73,18.73,18.73,0.0,11.94,805.0,110.2,0,0,30,0,78.78,78.78,78.78,32.1,0.41,0.0,0,0,0,0,0.0
6,EQUILIBRIO,18.84,18.84,18.84,0.0,11.94,810.0,110.8,0,0,30,0,78.78,78.78,78.78,32.27,0.41,0.0,0,0,0,0,0.0
7,EQUILIBRIO,18.92,18.92,18.92,0.0,11.94,813.0,111.3,0,0,30,0,78.78,78.78,78.78,32.38,0.41,0.0,0,0,0,0,0.0
8,EQUILIBRIO,18.97,18.97,18.97,0.0,11.94,815.0,111.6,0,0,30,0,78.78,78.78,78.78,32.46,0.41,0.0,0,0,0,0,0.0
9,EQUILIBRIO,19.01,19.01,19.01,0.0,11.94,817.0,111.8,0,0,30,0,78.78,78.78,78.78,32.51,0.41,0.0,0,0,0,0,0.0
10,EQUILIBRIO,19.03,19.03,19.03,0.0,11.94,818.0,111.9,0,0,30,0,78.78,78.78,78.78,32.54,0.41,0.0,0,0,0,0,0.0
11,FRENADA_ORIGEN,18.77,11.03,19.05,8.02,11.94,807.0,110.4,0,0,29,1,74.48,78.78,83.19,32.15,0.41,10.0,0,0,0,0,8.02
12,FRENADA_ORIGEN,18.47,3.03,19.06,16.03,11.94,794.0,108.6,0,0,29,1,62.95,78.78,95.61,31.7,0.4,15.8,0,-0.0,0,0,16.03
13,FRENADA_ORIGEN,18.29,0.0,19.06,19.06,11.94,786.0,107.6,1,0,29,0,47.21,78.78,114.24,31.43,0.4,20.2,0,-0.0,1,0,19.06
14,ONDA_ACTIVA,18.2,0.2,19.07,18.87,11.94,782.0,107.0,1,1,28,0,33.65,78.78,133.29,31.29,0.4,24.5,0,-0.0,1,1,19.06
15,DISOLVIENDO,18.17,2.2,19.07,16.88,11.94,781.0,106.9,0,1,28,1,23.88,78.78,151.06,31.25,0.4,28.0,0,-0.0,1,1,19.06
16,DISOLVIENDO,18.15,4.2,19.08,14.88,11.94,780.0,106.7,0,1,28,1,18.08,78.78,166.84,31.22,0.4,31.1,0,-13.8,1,1,19.06
17,DISOLVIENDO,18.14,6.19,19.08,12.89,11.94,780.0,106.7,0,1,28,1,15.52,78.78,180.63,31.21,0.4,33.7,0,-10.6,1,1,19.06
18,DISOLVIENDO,18.15,7.41,19.08,11.67,11.94,780.0,106.8,0,2,27,1,15.4,78.78,192.44,31.23,0.4,36.1,0,-9.2,1,2,19.06
19,DISOLVIENDO,18.19,7.93,19.08,11.15,11.94,781.0,107.0,0,2,27,1,16.96,78.78,202.3,31.28,0.4,38.3,0,-8.8,1,2,19.06
20,DISOLVIENDO,18.23,8.88,19.08,10.2,11.94,783.0,107.2,0,2,27,1,19.61,78.78,210.31,31.35,0.4,40.2,0,0,1,2,19.06
