segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_atasco,coches_ajustando,coches_libre,gap_min,gap_medio,gap_max,gap_critico_medio,presion_gaps,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_en_atasco,max_v_diff
1,EQUILIBRIO,21.93,21.93,21.93,0.0,15.92,1256.0,103.2,0,0,30,0,57.83,57.83,57.83,24.43,0.42,0.0,0,0,0,0,0.0
2,EQUILIBRIO,22.43,22.43,22.43,0.0,15.92,1285.0,105.5,0,0,30,0,57.83,57.83,57.83,24.93,0.43,0.0,0,0,0,0,0.0
3,EQUILIBRIO,22.79,22.79,22.79,0.0,15.92,1306.0,107.2,0,0,30,0,57.83,57.83,57.83,25.29,0.44,0.0,0,0,0,0,0.0
4,EQUILIBRIO,23.04,23.04,23.04,0.0,15.92,1320.0,108.4,0,0,30,0,57.83,57.83,57.83,25.54,0.44,0.0,0,0,0,0,0.0
5,EQUILIBRIO,23.22,23.22,23.22,0.0,15.92,1330.0,109.3,0,0,30,0,57.83,57.83,57.83,25.72,0.44,0.0,0,0,0,0,0.0
6,EQUILIBRIO,23.34,23.34,23.34,0.0,15.92,1338.0,109.9,0,0,30,0,57.83,57.83,57.83,25.84,0.45,0.0,0,0,0,0,0.0
7,EQUILIBRIO,23.43,23.43,23.43,0.0,15.92,1342.0,110.3,0,0,30,0,57.83,57.83,57.83,25.93,0.45,0.0,0,0,0,0,0.0
8,EQUILIBRIO,23.49,23.49,23.49,0.0,15.92,1346.0,110.5,0,0,30,0,57.83,57.83,57.83,25.99,0.45,0.0,0,0,0,0,0.0
9,EQUILIBRIO,23.53,23.53,23.53,0.0,15.92,1348.0,110.7,0,0,30,0,57.83,57.83,57.83,26.03,0.45,0.0,0,0,0,0,0.0
10,EQUILIBRIO,23.56,23.56,23.56,0.0,15.92,1350.0,110.8,0,0,30,0,57.83,57.83,57.83,26.06,0.45,0.0,0,0,0,0,0.0
11,FRENADA_ORIGEN,23.21,13.56,23.57,10.02,15.92,1330.0,109.2,0,0,29,1,52.61,57.83,63.34,25.71,0.44,17.8,0,0,0,0,10.02
12,FRENADA_ORIGEN,22.77,3.56,23.59,20.03,15.92,1304.0,107.1,0,0,29,1,39.57,57.83,78.87,25.27,0.44,31.5,0,-0.0,0,0,20.03
13,FRENADA_ORIGEN,22.47,0.0,23.6,23.6,15.92,1287.0,105.7,1,1,28,0,23.21,57.83,101.99,24.97,0.43,41.7,0,-0.0,1,1,23.6
